date,airport_code,airline,origin_city,flight_number,scheduled_time,actual_time,delta_minutes,status
2026-08-12,BOM,Starlight Airline,Phuket,QP 619,16:55,16:55,0,Arrived
2026-08-12,BOM,Starlight Airline,Siliguri,QP 1132,17:00,17:00,0,Arrived
2026-08-12,BOM,SpiceJet,Mopa,SG 816,15:15,17:00,105,Arrived
2026-08-12,BOM,IndiGo,New Delhi,6E 6318,17:00,17:00,0,Arrived
2026-08-12,BOM,Air India,Bhuj,AI 2754,17:35,17:03,-32,Arrived
2026-08-12,BOM,IndiGo,Kochi,6E 674,17:05,17:05,0,Arrived
2026-08-12,BOM,Air India,Srinagar,AI 2662,17:10,17:10,0,Arrived
2026-08-12,BOM,IndiGo,Bangkok,6E 1604,17:10,17:10,0,Arrived
2026-08-12,BOM,IndiGo,Mangalore,6E 6523,17:40,17:12,-28,Arrived
2026-08-12,BOM,SpiceJet,Dubai,SG 5114,02:50,17:16,866,Arrived
2026-08-12,BOM,IndiGo,New Delhi,6E 864,17:45,17:19,-26,Arrived
2026-08-12,BOM,Air India,New Delhi,AI 2933,17:55,17:21,-34,Arrived
2026-08-12,BOM,IndiGo,Vasco da Gama,6E 5231,17:50,17:27,-23,Arrived
2026-08-12,BOM,ANA,Tokyo,NH 829,17:50,17:32,-18,Arrived
2026-08-12,BOM,Emirates,Dubai,EK 502,17:40,17:35,-5,Arrived
2026-08-12,BOM,IndiGo,Bangalore,6E 5031,17:45,17:37,-8,Arrived
2026-08-12,BOM,Air India,Bangkok,AI 2353,17:55,17:39,-16,Arrived
2026-08-12,BOM,Air India,Udaipur,AI 2596,18:15,17:42,-33,Arrived
2026-08-12,BOM,IndiGo,Malé,6E 1132,17:30,17:45,15,Arrived
2026-08-12,BOM,Air India,Indore,AI 1780,18:20,17:46,-34,Arrived
2026-08-12,BOM,IndiGo,Rajkot,6E 5271,17:25,17:50,25,Arrived
2026-08-12,BOM,IndiGo,Kathmandu,6E 1158,17:40,17:51,11,Arrived
2026-08-12,BOM,Air India,Chennai,AI 2740,18:15,17:54,-21,Arrived
2026-08-12,BOM,IndiGo,Kanpur,6E 2036,18:10,17:57,-13,Arrived
2026-08-12,BOM,IndiGo,Ahmedabad,6E 5139,18:25,18:00,-25,Arrived
2026-08-12,BOM,IndiGo,Indore,6E 2389,17:40,18:03,23,Arrived
2026-08-12,BOM,Air India,Bangalore,AI 2854,18:35,18:07,-28,Arrived
2026-08-12,BOM,Air India,Dehradun,AI 432,17:25,18:10,45,Arrived
2026-08-12,BOM,IndiGo,Lucknow,6E 708,18:30,18:12,-18,Arrived
2026-08-12,BOM,IndiGo,Adampur,6E 5932,18:05,18:15,10,Arrived
2026-08-12,BOM,IndiGo,Dhaka,6E 1116,18:55,18:18,-37,Arrived
2026-08-12,BOM,Starlight Airline,New Delhi,QP 1128,18:20,18:21,1,Arrived
2026-08-12,BOM,Air India,New Delhi,AI 1777,18:25,18:24,-1,Arrived
2026-08-12,BOM,Air India,Vasco da Gama,AI 2746,18:55,18:27,-28,Arrived
2026-08-12,BOM,IndiGo,New Delhi,6E 327,18:35,18:29,-6,Arrived
2026-08-12,BOM,IndiGo,Tiruchirappally,6E 2017,18:10,18:32,22,Arrived
2026-08-12,BOM,IndiGo,Chennai,6E 5104,18:40,18:34,-6,Arrived
2026-08-12,BOM,Air India,New Delhi,AI 2941,18:50,18:37,-13,Arrived
2026-08-12,BOM,IndiGo,Kolkata,6E 6206,19:05,18:40,-25,Arrived
2026-08-12,BOM,IndiGo,Bangalore,6E 5255,19:05,18:43,-22,Arrived
2026-08-12,BOM,IndiGo,Udaipur,6E 5163,19:15,18:52,-23,Arrived
2026-08-12,BOM,Air India,Hyderabad,AI 2447,19:25,18:55,-30,Arrived
2026-08-12,BOM,IndiGo,Hyderabad,6E 5259,18:50,18:58,8,Arrived
2026-08-12,BOM,IndiGo,Madhurapudi,6E 5124,18:55,19:03,8,Arrived
2026-08-12,BOM,Etihad,Abu Dhabi,EY 204,19:15,19:09,-6,Arrived
2026-08-12,BOM,IndiGo,Gorakhpur,6E 6951,19:35,19:12,-23,Arrived
2026-08-12,BOM,Air India Express,Jaipur,IX 1218,19:30,19:15,-15,Arrived
2026-08-12,BOM,Air India,Jamnagar,AI 2983,19:40,19:18,-22,Arrived
2026-08-12,BOM,IndiGo,Bhopal,6E 5132,19:35,19:20,-15,Arrived
2026-08-12,BOM,Starlight Airline,Kolkata,QP 1108,19:50,19:23,-27,Arrived
2026-08-12,BOM,Air India,New Delhi,AI 441,19:25,19:25,0,Arrived
2026-08-12,BOM,Shuttle America,Mundra,S5 706,19:55,19:29,-26,Arrived
2026-08-12,BOM,Air India,Newark,AI 144,12:25,19:29,424,Arrived
2026-08-12,BOM,Starlight Airline,New Delhi,QP 1820,19:45,19:31,-14,Arrived
2026-08-12,BOM,IndiGo,Chandigarh,6E 5234,19:35,19:33,-2,Arrived
2026-08-12,BOM,Air India,Gannavaram,AI 599,20:10,19:39,-31,Arrived
2026-08-12,BOM,Starlight Airline,Abu Dhabi,QP 585,19:45,19:42,-3,Arrived
2026-08-12,BOM,Air India,Chennai,AI 640,20:20,19:44,-36,Arrived
2026-08-12,BOM,IndiGo,Vasco da Gama,6E 5242,19:55,19:50,-5,Arrived
2026-08-12,BOM,SriLankan,Colombo,UL 143,19:50,19:54,4,Arrived
2026-08-12,BOM,Air India,New Delhi,AI 2955,20:25,19:57,-28,Arrived
2026-08-12,BOM,Air India Express,Vasco da Gama,IX 1241,19:45,19:59,14,Arrived
2026-08-12,BOM,Air India,Chandigarh,AI 2660,20:30,20:01,-29,Arrived
2026-08-12,BOM,IndiGo,Chennai,6E 5367,20:15,20:04,-11,Arrived
2026-08-12,BOM,IndiGo,Raipur,6E 6110,20:05,20:07,2,Arrived
2026-08-12,BOM,Air India Express,New Delhi,IX 1056,20:10,20:09,-1,Arrived
2026-08-12,BOM,IndiGo,Coimbatore,6E 697,20:15,20:12,-3,Arrived
2026-08-12,BOM,IndiGo,New Delhi,6E 6706,19:15,20:14,59,Arrived
2026-08-12,BOM,IndiGo,Naqpur,6E 5175,20:30,20:17,-13,Arrived
2026-08-12,BOM,IndiGo,Calicut,6E 6932,20:25,20:19,-6,Arrived
2026-08-12,BOM,IndiGo,New Delhi,6E 329,20:15,20:21,6,Arrived
2026-08-12,BOM,Air India,Kolkata,AI 2774,20:50,20:25,-25,Arrived
2026-08-12,BOM,IndiGo,Hyderabad,6E 5039,20:30,20:27,-3,Arrived
2026-08-12,BOM,IndiGo,Jakarta,6E 1602,20:55,20:29,-26,Arrived
2026-08-12,BOM,Air India,Bangalore,AI 2610,21:05,20:32,-33,Arrived
2026-08-12,BOM,IndiGo,Bangalore,6E 6283,20:40,20:34,-6,Arrived
2026-08-12,BOM,Air India,New Delhi,AI 2441,20:55,20:37,-18,Arrived
2026-08-12,BOM,Riyadh Air,Riyadh,RX 697,20:35,20:39,4,Arrived
2026-08-12,BOM,Starlight Airline,Varanasi,QP 1428,18:40,20:42,122,Arrived
2026-08-12,BOM,Gulf Air,Manama,GF 64,20:55,20:45,-10,Arrived
2026-08-12,BOM,Starlight Airline,Guwahati,QP 1142,21:00,20:46,-14,Arrived
2026-08-12,BOM,Cathay Pacific,Hong Kong,CX 683,21:05,20:48,-17,Arrived
2026-08-12,BOM,Emirates,Dubai,EK 508,20:45,20:54,9,Arrived
2026-08-12,BOM,Air India,New Delhi,AI 2977,21:25,20:57,-28,Arrived
2026-08-12,BOM,IndiGo,New Delhi,6E 354,21:25,20:59,-26,Arrived
2026-08-12,BOM,Air Arabia,Sharjah,G9 401,21:15,21:07,-8,Arrived
2026-08-12,BOM,Air India,Indore,AI 2750,21:25,21:09,-16,Arrived
2026-08-12,BOM,IndiGo,Ahmedabad,6E 5160,21:05,21:12,7,Arrived
2026-08-12,BOM,Vietnam,Hanoi,VN 973,21:35,21:16,-19,Arrived
2026-08-12,BOM,Singapore,Singapore,SQ 424,22:10,21:19,-51,Arrived
2026-08-12,BOM,IndiGo,Udaipur,6E 5327,21:20,21:22,2,Arrived
2026-08-12,BOM,Thai  International,Bangkok,TG 317,21:55,21:24,-31,Arrived
2026-08-12,BOM,Air India Express,Varanasi,IX 2547,21:35,21:33,-2,Arrived
2026-08-12,BOM,IndiGo,Rajkot,6E 2104,21:25,21:35,10,Arrived
2026-08-12,BOM,IndiGo,Kolkata,6E 5128,21:30,21:37,7,Arrived
2026-08-12,BOM,Air India,New Delhi,AI 2985,21:55,21:39,-16,Arrived
2026-08-12,BOM,Starlight Airline,Mopa,QP 1176,21:45,21:46,1,Arrived
2026-08-12,BOM,Air India,Kochi,AI 699,22:25,21:55,-30,Arrived
2026-08-12,BOM,SWISS,Zurich,LX 154,21:50,21:57,7,Arrived
2026-08-12,BOM,IndiGo,Bangalore,6E 5376,22:00,22:00,0,Arrived
2026-08-12,BOM,Air India Express,Siliguri,IX 1547,21:55,22:02,7,Arrived
2026-08-12,BOM,Malaysia,Kuala Lumpur,MH 194,22:15,22:04,-11,Arrived
2026-08-12,BOM,IndiGo,Bhubaneswar,6E 459,22:35,22:16,-19,Arrived
2026-08-12,BOM,Starlight Airline,New Delhi,QP 1826,22:20,22:18,-2,Arrived
2026-08-12,BOM,IndiGo,Naqpur,6E 5133,22:20,22:19,-1,Arrived
2026-08-12,BOM,IndiGo,Mopa,6E 5176,22:15,22:22,7,Arrived
2026-08-12,BOM,IndiGo,Indore,6E 552,22:05,22:25,20,Arrived
2026-08-12,BOM,IndiGo,Vadodara,6E 679,22:25,22:27,2,Arrived
2026-08-12,BOM,IndiGo,Dubai,6E 1454,22:35,22:30,-5,Arrived
2026-08-12,BOM,IndiGo,New Delhi,6E 303,22:10,22:32,22,Arrived
2026-08-12,BOM,IndiGo,Singapore,6E 1164,22:45,22:35,-10,Arrived
2026-08-12,BOM,IndiGo,Mangalore,6E 5310,22:50,22:37,-13,Arrived
2026-08-12,BOM,Air India,Bangalore,AI 2850,22:40,22:39,-1,Arrived
2026-08-12,BOM,Air India,New Delhi,AI 2957,23:05,22:43,-22,Arrived
2026-08-12,BOM,IndiGo,Jaipur,6E 5226,22:30,22:45,15,Arrived
2026-08-12,BOM,Air India,Trivandrum,AI 2656,23:05,22:47,-18,Arrived
2026-08-12,BOM,Air India Express,Lucknow,IX 1387,22:20,22:50,30,Arrived
2026-08-12,BOM,Air India,Bangalore,AI 2642,23:35,22:53,-42,Arrived
2026-08-12,BOM,IndiGo,Varanasi,6E 5029,23:05,22:56,-9,Arrived
2026-08-12,BOM,Air India,Chennai,AI 436,23:30,22:58,-32,Arrived
2026-08-12,BOM,Air India,Ahmedabad,AI 2494,23:15,23:01,-14,Arrived
2026-08-12,BOM,IndiGo,Chennai,6E 5149,22:15,23:04,49,Arrived
2026-08-12,BOM,IndiGo,Madurai,6E 6186,23:15,23:07,-8,Arrived
2026-08-12,BOM,Air India,Vasco da Gama,AI 2506,23:10,23:09,-1,Arrived
2026-08-12,BOM,British,London,BA 139,23:40,23:11,-29,Arrived
2026-08-12,BOM,Air India,New Delhi,AI 2981,23:20,23:17,-3,Arrived
2026-08-12,BOM,IndiGo,Ahmedabad,6E 868,23:00,23:19,19,Arrived
2026-08-12,BOM,Air France,Paris,AF 218,23:20,23:22,2,Arrived
2026-08-12,BOM,Air India,Naqpur,AI 2584,00:05,23:26,1401,Arrived
2026-08-12,BOM,Air India,Dubai,AI 4218,23:55,23:28,-27,Arrived
2026-08-12,BOM,IndiGo,Kochi,6E 2094,00:10,23:32,1402,Arrived
2026-08-12,BOM,Air India,Hyderabad,AI 2699,00:15,23:34,1399,Arrived
2026-08-12,BOM,IndiGo,Mahe Island,6E 1856,00:35,23:41,1386,Arrived
2026-08-12,BOM,IndiGo,New Delhi,6E 395,00:05,23:43,1418,Arrived
2026-08-12,BOM,Cathay Pacific,Hong Kong,CX 663,00:20,23:46,1406,Arrived
2026-08-12,BOM,Air India,New Delhi,AI 2999,00:25,23:49,1404,Arrived
2026-08-12,BOM,SpiceJet,Dubai,SG 5023,08:50,23:50,900,Arrived
2026-08-12,BOM,Lufthansa,Munich,LH 766,23:50,23:51,1,Arrived
2026-08-12,BOM,KLM,Amsterdam,KL 877,00:00,23:55,1435,Arrived
2026-08-12,BOM,KLM,Amsterdam,KL 877,00:00,23:55,1435,Arrived
2026-08-12,BOM,Air India,Coimbatore,AI 2733,00:05,23:59,1434,Arrived
