date,airport_code,airline,origin_city,flight_number,scheduled_time,actual_time,delta_minutes,status
2026-08-12,MAA,IndiGo,Abu Dhabi,6E1412,10:25,11:54,89,Arrived
2026-08-12,MAA,IndiGo,Delhi,6E0940,12:05,11:57,-8,Arrived
2026-08-12,MAA,Alliance Air,Hyderabad,9I0893,12:50,12:22,-28,Arrived
2026-08-12,MAA,IndiGo,Coimbatore,6E0725,12:40,12:28,-12,Arrived
2026-08-12,MAA,IndiGo,Singapore,6E1026,12:45,12:37,-8,Arrived
2026-08-12,MAA,Akasa Air,Port Blair,QP1146,12:55,12:46,-9,Arrived
2026-08-12,MAA,Air India Express,Bengaluru,IX2025,13:55,13:05,-50,Arrived
2026-08-12,MAA,Akasa Air,Ahmedabad,QP1319,13:30,13:08,-22,Arrived
2026-08-12,MAA,IndiGo,Varanasi,6E6044,13:10,13:12,2,Arrived
2026-08-12,MAA,Biman Bangladesh Airlines,Dhaka,BG0363,13:35,13:17,-18,Arrived
2026-08-12,MAA,IndiGo,Thoothukudi,6E7264,13:30,13:21,-9,Arrived
2026-08-12,MAA,IndiGo,Jaffna International Airport,6E1178,13:40,13:25,-15,Arrived
2026-08-12,MAA,IndiGo,Colombo,6E1180,13:45,13:28,-17,Arrived
2026-08-12,MAA,Air India,Delhi,AI2467,12:45,13:32,47,Arrived
2026-08-12,MAA,IndiGo,Mumbai,6E6349,13:45,13:35,-10,Arrived
2026-08-12,MAA,IndiGo,Bengaluru,6E6208,13:55,13:38,-17,Arrived
2026-08-12,MAA,IndiGo,Cuddapah Airport,6E7098,14:00,13:46,-14,Arrived
2026-08-12,MAA,IndiGo,Vijayawada,6E7263,13:40,13:49,9,Arrived
2026-08-12,MAA,IndiGo,Delhi,6E0434,13:50,13:54,4,Arrived
2026-08-12,MAA,Air India,Delhi,AI2475,13:30,14:02,32,Arrived
2026-08-12,MAA,Air India,Mumbai,AI2780,14:50,14:20,-30,Arrived
2026-08-12,MAA,Sri Lankan Airlines,Colombo,UL0127,14:55,14:29,-26,Arrived
2026-08-12,MAA,Air India Express,Kolkata,IX1254,09:10,14:45,335,Arrived
2026-08-12,MAA,Air India,Madurai,AI2740,15:15,14:51,-24,Arrived
2026-08-12,MAA,IndiGo,Trichy,6E7268,15:20,14:57,-23,Arrived
2026-08-12,MAA,IndiGo,Coimbatore,6E0571,15:05,15:00,-5,Arrived
2026-08-12,MAA,IndiGo,Cochin/Kochi,6E6011,15:10,15:04,-6,Arrived
2026-08-12,MAA,IndiGo,Hyderabad,6E0514,15:30,15:11,-19,Arrived
2026-08-12,MAA,Oman Air,Muscat,WY0253,14:40,15:21,41,Arrived
2026-08-12,MAA,IndiGo,Pune,6E0625,15:30,15:24,-6,Arrived
2026-08-12,MAA,IndiGo,Mumbai,6E5337,15:50,15:27,-23,Arrived
2026-08-12,MAA,IndiGo,Port Blair,6E2698,15:45,15:36,-9,Arrived
2026-08-12,MAA,Air India Express,Bengaluru,IX2505,15:55,15:41,-14,Arrived
2026-08-12,MAA,Air India,Delhi,AI2877,15:35,15:42,7,Arrived
2026-08-12,MAA,IndiGo,Delhi,6E6115,16:00,16:05,5,Arrived
2026-08-12,MAA,IndiGo,Salem,6E7112,16:50,16:37,-13,Arrived
2026-08-12,MAA,IndiGo,Cochin/Kochi,6E0182,16:15,16:40,25,Arrived
2026-08-12,MAA,IndiGo,Jaipur,6E0694,16:50,16:48,-2,Arrived
2026-08-12,MAA,IndiGo,Coimbatore,6E0848,17:05,16:51,-14,Arrived
2026-08-12,MAA,IndiGo,Mumbai,6E5196,17:30,17:07,-23,Arrived
